n_trials,lookback_weeks,signal_threshold,consensus_threshold,n_trades,win_rate,pf,sharpe,max_dd,cagr,avg_trade_pct,median_trade_pct,gross_return,n_wins,n_losses
27,4,0.0,3,175,0.38285714285714284,1.7850342918106654,0.9900120879740792,0.36580559024267506,0.5257718058531513,0.007469547209697631,-0.005212956269048122,1.3071707616970853,67,108
27,4,0.02,3,170,0.40588235294117647,1.8182101709179863,0.9039777322565671,0.31545150641920466,0.4690036962972872,0.007368875466275688,-0.0031237793766986876,1.2527088292668669,69,101
27,2,0.05,5,173,0.5317919075144508,1.7672176857706328,0.7528407007826594,0.5121664988115414,0.28837926252095847,0.004962320786725234,0.0003260909935004803,0.8584814961034654,92,81
27,4,0.05,4,135,0.4148148148148148,2.027656446119167,0.676641460143045,0.33079448320771115,0.3445663569976749,0.008525931477174353,-0.001692494968831298,1.1510007494185377,56,79
27,4,0.02,4,182,0.3901098901098901,1.7955690846027876,0.6407878296912113,0.39040595343579837,0.3236474331251942,0.006388784485690228,-0.0029530170997299513,1.1627587763956215,71,111
27,4,0.05,3,148,0.42567567567567566,1.8018634281043924,0.6345804209716922,0.33467700423327484,0.30629634973554487,0.007250680503141924,-0.003202783879774267,1.0731007144650047,63,85
27,2,0.05,4,189,0.49206349206349204,1.5687911870789455,0.6302902388780838,0.4178019240675352,0.22427612398539876,0.0041027205111107,-0.0002788875188382076,0.7754141765999222,93,96
27,4,0.0,4,189,0.4021164021164021,1.7520004684315167,0.6270025413913644,0.4116773008728887,0.3100932118681148,0.00607621074358401,-0.0027976468451095826,1.1484038305373778,76,113
27,4,0.0,5,179,0.4245810055865922,1.6948141683164177,0.5968298310764396,0.3779605582450989,0.242284253480195,0.004817427488827053,-0.0023265418264231566,0.8623195205000425,76,103
27,2,0.02,5,191,0.4293193717277487,1.515755092224135,0.5882540198106312,0.4854332147676756,0.20309530272673104,0.0038753894901310004,-0.0021000810801427247,0.7401993926150211,82,109
27,2,0.05,3,212,0.4481132075471698,1.4221499794542538,0.5827956976176007,0.5016032814727724,0.18968255689361735,0.0033000467505535864,-0.0020570830159911393,0.6996099111173603,95,117
27,8,0.0,4,135,0.28888888888888886,1.6158219915080296,0.5641939484573066,0.40065945293762784,0.25287360696740424,0.008041836157917263,-0.009819555119856218,1.0856478813188304,39,96
27,4,0.02,5,155,0.41935483870967744,1.6123627168216443,0.5237649784962319,0.3526977898637799,0.18676469410534313,0.004802866304493875,-0.002814219363224389,0.7444442771965506,65,90
27,4,0.05,5,112,0.42857142857142855,1.6631973489654748,0.5213848698541913,0.2242237192270758,0.17119597293678734,0.005580778808090274,-0.003489148759163986,0.6250472265061107,48,64
27,2,0.0,4,260,0.3769230769230769,1.3622219445571169,0.5045907037699784,0.6151718151028603,0.17697623743948943,0.003423308475020394,-0.004364223387761075,0.8900602035053025,98,162
27,8,0.0,3,122,0.28688524590163933,1.5198481551872545,0.4862067215793771,0.48305574347273617,0.17673463955283442,0.00762834524306754,-0.01257686714056687,0.9306581196542398,35,87
27,2,0.0,5,255,0.39215686274509803,1.3115506686353153,0.4735965140769591,0.58460918106204,0.13624897395785296,0.0025647807225588773,-0.0034016778523489905,0.6540190842525138,100,155
27,2,0.02,4,226,0.39823008849557523,1.2966732358150839,0.47010535186617175,0.6086162309845119,0.12867258603343878,0.0026698675107204033,-0.003636485852475593,0.6033900574228112,90,136
27,2,0.0,3,246,0.35772357723577236,1.304984277145581,0.4644009893703063,0.596198326875408,0.14048664638832675,0.0029894203640245085,-0.005895405780248754,0.7353974095500291,88,158
27,8,0.02,4,134,0.30597014925373134,1.6347747704548585,0.4262087552570551,0.4278494009104343,0.1504690287183419,0.006718382167371031,-0.006467524692124785,0.9002632104277182,41,93
27,8,0.02,3,124,0.31451612903225806,1.4453309079039234,0.33902178948609224,0.42709391958309206,0.06723251105911876,0.00561496929274321,-0.007560231050293839,0.696256192300158,39,85
27,8,0.05,3,119,0.3445378151260504,1.3192302796384243,0.31466055650182656,0.40317215628100683,0.06006376496342747,0.003705472627320146,-0.006786720502467464,0.44095124265109736,41,78
27,2,0.02,3,253,0.383399209486166,1.1444466364942036,0.2659320700536016,0.6345588731688919,0.01572491620538341,0.001332402510825912,-0.0034016778523489905,0.33709783523895576,97,156
27,8,0.05,4,113,0.3185840707964602,1.1606607412178338,0.13544875640693613,0.483587728574776,-0.038528762410135586,0.0016263962337629135,-0.007429275931101459,0.18378277441520924,36,77
27,8,0.02,5,100,0.29,1.0773059294454328,0.06512154121113278,0.4919798070260195,-0.07596600538620313,0.0008801733271575926,-0.009217085318867165,0.08801733271575926,29,71
27,8,0.0,5,127,0.2677165354330709,1.053407169473331,0.06501231451407302,0.5303063692799278,-0.07936214862730828,0.0006437553799603377,-0.00981883304448298,0.08175693325496289,34,93
27,8,0.05,5,103,0.27184466019417475,1.04584503566833,0.03868801270676004,0.5144101018775326,-0.09532993099374454,0.0005174873347698582,-0.009168393625087564,0.053301195481295395,28,75
