n_trials,min_range_pct,stretched_threshold_pct,stop_buffer_pct,time_stop_hours,n_trades,win_rate,pf,sharpe,max_dd,cagr,avg_trade_pct,median_trade_pct,gross_return,n_wins,n_losses
300,0.02,0.025,0.015,24,19,0.3684210526315789,0.918926031735658,-0.09643649470550669,0.08349424554338829,-0.016277010547516846,-0.0012946321590457791,-0.007064596827789958,-0.024598011021869804,7,12
300,0.025,0.025,0.015,24,19,0.3684210526315789,0.918926031735658,-0.09643649470550669,0.08349424554338829,-0.016277010547516846,-0.0012946321590457791,-0.007064596827789958,-0.024598011021869804,7,12
300,0.01,0.025,0.015,24,19,0.3684210526315789,0.918926031735658,-0.09643649470550669,0.08349424554338829,-0.016277010547516846,-0.0012946321590457791,-0.007064596827789958,-0.024598011021869804,7,12
300,0.015,0.025,0.015,24,19,0.3684210526315789,0.918926031735658,-0.09643649470550669,0.08349424554338829,-0.016277010547516846,-0.0012946321590457791,-0.007064596827789958,-0.024598011021869804,7,12
300,0.005,0.025,0.015,24,19,0.3684210526315789,0.918926031735658,-0.09643649470550669,0.08349424554338829,-0.016277010547516846,-0.0012946321590457791,-0.007064596827789958,-0.024598011021869804,7,12
300,0.025,0.025,0.02,24,19,0.3684210526315789,0.848975544087899,-0.18858578755869448,0.08912083766949598,-0.02716262913315104,-0.0026103432228463536,-0.007064596827789958,-0.04959652123408072,7,12
300,0.01,0.025,0.02,24,19,0.3684210526315789,0.848975544087899,-0.18858578755869448,0.08912083766949598,-0.02716262913315104,-0.0026103432228463536,-0.007064596827789958,-0.04959652123408072,7,12
300,0.015,0.025,0.02,24,19,0.3684210526315789,0.848975544087899,-0.18858578755869448,0.08912083766949598,-0.02716262913315104,-0.0026103432228463536,-0.007064596827789958,-0.04959652123408072,7,12
300,0.005,0.025,0.02,24,19,0.3684210526315789,0.848975544087899,-0.18858578755869448,0.08912083766949598,-0.02716262913315104,-0.0026103432228463536,-0.007064596827789958,-0.04959652123408072,7,12
300,0.02,0.025,0.02,24,19,0.3684210526315789,0.848975544087899,-0.18858578755869448,0.08912083766949598,-0.02716262913315104,-0.0026103432228463536,-0.007064596827789958,-0.04959652123408072,7,12
300,0.02,0.025,0.01,24,19,0.3684210526315789,0.8362535987374871,-0.20987105929353222,0.09502131919143594,-0.029104191601835527,-0.002873288794268106,-0.020023642259182087,-0.054592487091094016,7,12
300,0.025,0.025,0.01,24,19,0.3684210526315789,0.8362535987374871,-0.20987105929353222,0.09502131919143594,-0.029104191601835527,-0.002873288794268106,-0.020023642259182087,-0.054592487091094016,7,12
300,0.015,0.025,0.01,24,19,0.3684210526315789,0.8362535987374871,-0.20987105929353222,0.09502131919143594,-0.029104191601835527,-0.002873288794268106,-0.020023642259182087,-0.054592487091094016,7,12
300,0.01,0.025,0.01,24,19,0.3684210526315789,0.8362535987374871,-0.20987105929353222,0.09502131919143594,-0.029104191601835527,-0.002873288794268106,-0.020023642259182087,-0.054592487091094016,7,12
300,0.005,0.025,0.01,24,19,0.3684210526315789,0.8362535987374871,-0.20987105929353222,0.09502131919143594,-0.029104191601835527,-0.002873288794268106,-0.020023642259182087,-0.054592487091094016,7,12
300,0.01,0.015,0.02,24,55,0.4727272727272727,0.8598193633613206,-0.29057079495689797,0.21284534891596196,-0.05231322037076913,-0.0019702701858277495,-0.001592538956280076,-0.10836486022052622,26,29
300,0.005,0.015,0.02,24,55,0.4727272727272727,0.8598193633613206,-0.29057079495689797,0.21284534891596196,-0.05231322037076913,-0.0019702701858277495,-0.001592538956280076,-0.10836486022052622,26,29
300,0.025,0.015,0.02,24,55,0.4727272727272727,0.8598193633613206,-0.29057079495689797,0.21284534891596196,-0.05231322037076913,-0.0019702701858277495,-0.001592538956280076,-0.10836486022052622,26,29
300,0.015,0.015,0.02,24,55,0.4727272727272727,0.8598193633613206,-0.29057079495689797,0.21284534891596196,-0.05231322037076913,-0.0019702701858277495,-0.001592538956280076,-0.10836486022052622,26,29
300,0.02,0.015,0.02,24,55,0.4727272727272727,0.8598193633613206,-0.29057079495689797,0.21284534891596196,-0.05231322037076913,-0.0019702701858277495,-0.001592538956280076,-0.10836486022052622,26,29
300,0.015,0.025,0.01,48,19,0.3157894736842105,0.7785800312134746,-0.314743475005067,0.14835319189784252,-0.04545290943792779,-0.004780002872368589,-0.021061314079422445,-0.0908200545750032,6,13
300,0.005,0.025,0.01,48,19,0.3157894736842105,0.7785800312134746,-0.314743475005067,0.14835319189784252,-0.04545290943792779,-0.004780002872368589,-0.021061314079422445,-0.0908200545750032,6,13
300,0.025,0.025,0.01,48,19,0.3157894736842105,0.7785800312134746,-0.314743475005067,0.14835319189784252,-0.04545290943792779,-0.004780002872368589,-0.021061314079422445,-0.0908200545750032,6,13
300,0.01,0.025,0.01,48,19,0.3157894736842105,0.7785800312134746,-0.314743475005067,0.14835319189784252,-0.04545290943792779,-0.004780002872368589,-0.021061314079422445,-0.0908200545750032,6,13
300,0.02,0.025,0.01,48,19,0.3157894736842105,0.7785800312134746,-0.314743475005067,0.14835319189784252,-0.04545290943792779,-0.004780002872368589,-0.021061314079422445,-0.0908200545750032,6,13
300,0.02,0.015,0.01,48,55,0.43636363636363634,0.85144349561049,-0.3300250406939284,0.20043716448350465,-0.061096334111567785,-0.002349163415072278,-0.019128327094101914,-0.12920398782897527,24,31
300,0.005,0.015,0.01,48,55,0.43636363636363634,0.85144349561049,-0.3300250406939284,0.20043716448350465,-0.061096334111567785,-0.002349163415072278,-0.019128327094101914,-0.12920398782897527,24,31
