n_trials,min_range_pct,extreme_proximity_pct,stop_buffer_pct,tp_fraction,time_stop_hours,n_trades,win_rate,pf,sharpe,max_dd,cagr,avg_trade_pct,median_trade_pct,gross_return,n_wins,n_losses
1500,0.025,0.15,0.015,0.7,8,88,0.375,0.7633609507398508,-0.6490843683181848,0.41683620223296103,-0.09043383183319487,-0.002427556033822971,-0.005382660263436534,-0.21362493097642143,33,55
1500,0.025,0.15,0.015,0.7,6,88,0.36363636363636365,0.7531570846270724,-0.6900207885343161,0.4131181347034286,-0.09403666324362037,-0.00254627583063969,-0.00581178169622509,-0.22407227309629274,32,56
1500,0.025,0.15,0.01,0.7,6,88,0.3409090909090909,0.7255832239047506,-0.7890422449118205,0.3905661203420323,-0.10097223283908163,-0.0027840860583270184,-0.008788102560734997,-0.24499957313277762,30,58
1500,0.025,0.15,0.01,0.7,8,88,0.3409090909090909,0.7045866465818548,-0.8553865110367328,0.40451348475418214,-0.10985182428487716,-0.003057972774182026,-0.007178314624418907,-0.2691016041280183,30,58
1500,0.025,0.15,0.0075,0.7,6,88,0.3068181818181818,0.6977437029624256,-0.8946539509582496,0.40001509327091744,-0.10990404342438764,-0.0030768616040233,-0.014348419753370801,-0.2707638211540504,27,61
1500,0.02,0.15,0.015,0.7,8,114,0.37719298245614036,0.7109153236370636,-0.8947043167974928,0.47094860353209295,-0.12286475668491836,-0.0026915623038363664,-0.004949389911471536,-0.3068381026373458,43,71
1500,0.02,0.15,0.015,0.7,6,114,0.3684210526315789,0.7102386429904255,-0.9096478414935125,0.46642691611481313,-0.1230487688603783,-0.002701575462169002,-0.0047288202430408426,-0.30797960268726626,42,72
1500,0.025,0.15,0.015,0.5,8,88,0.42045454545454547,0.6881899779162982,-0.9298348746719209,0.38973350298133125,-0.10731141513962528,-0.0030150045072470113,-0.004654422076802467,-0.265320396637737,37,51
1500,0.025,0.15,0.015,0.6,8,88,0.375,0.6782454425646154,-0.9527984228423685,0.42793050906398433,-0.11711199991590748,-0.0033007114411351015,-0.005382660263436534,-0.29046260681988895,33,55
1500,0.025,0.15,0.015,0.6,6,88,0.375,0.67108620135423,-0.9932040056331478,0.42189713611306867,-0.11967811044722287,-0.0033893293610424576,-0.00581178169622509,-0.29826098377173627,33,55
1500,0.025,0.15,0.0075,0.7,8,88,0.3068181818181818,0.6693125234934748,-0.9944677863110749,0.419380433492646,-0.12211749376442471,-0.003461266390347564,-0.014440945876105568,-0.3045914423505856,27,61
1500,0.025,0.15,0.015,0.5,6,88,0.42045454545454547,0.6741963801262686,-0.9949408377592017,0.389512915408374,-0.11188839409772766,-0.003166934231005479,-0.004680004220363819,-0.2786902123284821,37,51
1500,0.025,0.15,0.005,0.7,6,88,0.2727272727272727,0.6652464505702098,-1.012103492147228,0.38976543811470366,-0.11905724164800191,-0.003380355720552951,-0.013259274964501633,-0.2974713034086597,24,64
1500,0.02,0.15,0.01,0.7,6,114,0.3508771929824561,0.6824205125046832,-1.030963964787869,0.44868574628276187,-0.13162878725113103,-0.0029351709256087576,-0.00581178169622509,-0.33460948551939834,40,74
1500,0.025,0.15,0.005,0.7,8,88,0.2840909090909091,0.6547657229181382,-1.0555554188406422,0.3989002855421442,-0.12434823130418782,-0.003547675615520093,-0.01342191099933032,-0.31219545416576816,25,63
1500,0.025,0.15,0.0075,0.7,4,88,0.36363636363636365,0.6277074026805911,-1.0927662612205447,0.402389158281178,-0.1171857519748819,-0.0033507478885018084,-0.007513008126551113,-0.29486581418815916,32,56
1500,0.02,0.15,0.01,0.7,8,114,0.3508771929824561,0.6605584704967106,-1.1070378325545913,0.4600858089477543,-0.14169398953765955,-0.00318818033622305,-0.005448504596704059,-0.3634525583294277,40,74
1500,0.025,0.15,0.01,0.7,4,88,0.375,0.6187104199202971,-1.107322502420166,0.40386148874396527,-0.12167166947770947,-0.0034852409333992304,-0.006509262727826937,-0.30670120213913227,33,55
1500,0.025,0.15,0.015,0.7,4,88,0.38636363636363635,0.6140809481933229,-1.1097540640232855,0.4072378467393033,-0.12690661646943502,-0.003638480702130024,-0.00587988923614957,-0.3201863017874421,34,54
1500,0.025,0.15,0.01,0.6,6,88,0.3522727272727273,0.6420188691345535,-1.1209036317123662,0.4076527013071346,-0.12644476680190875,-0.0036280347744211392,-0.008788102560734997,-0.31926706014906026,31,57
1500,0.02,0.15,0.0075,0.7,6,114,0.3157894736842105,0.6510518013424921,-1.1691952622926014,0.450502426425617,-0.14296763169775184,-0.0032356433607828574,-0.009047902146369103,-0.36886334312924574,36,78
1500,0.02,0.15,0.015,0.5,8,114,0.4298245614035088,0.646811125590964,-1.179459333466625,0.4482447540927464,-0.1368448540359718,-0.0030936297622184135,-0.0032191733187526598,-0.35267379289289913,49,65
1500,0.025,0.15,0.01,0.6,8,88,0.3409090909090909,0.6236871144124501,-1.1842413565858692,0.4218248559342165,-0.13488062309240867,-0.0038954046774986456,-0.007178314624418907,-0.3427956116198808,30,58
1500,0.025,0.15,0.01,0.5,6,88,0.3977272727272727,0.6319506946192387,-1.1864076764347342,0.36732412720885177,-0.12274096895135689,-0.0035360481224330346,-0.007209704195664735,-0.31117223477410705,35,53
1500,0.02,0.15,0.015,0.5,6,114,0.4298245614035088,0.6408001528558106,-1.2169730218539838,0.4460905409463948,-0.1381163594688387,-0.0031321274280278516,-0.0031450995062877333,-0.3570625267951751,49,65
1500,0.02,0.15,0.015,0.6,8,114,0.37719298245614036,0.6313413335470848,-1.228320323862848,0.4857121778265466,-0.1507767426127492,-0.0034324467906472174,-0.004949389911471536,-0.3912989341337828,43,71
1500,0.025,0.15,0.0075,0.6,6,88,0.3181818181818182,0.6185693754150879,-1.2329991506114506,0.4168367551916814,-0.133854571527796,-0.003878725266617615,-0.014348419753370801,-0.34132782346235013,28,60
1500,0.025,0.15,0.01,0.5,8,88,0.38636363636363635,0.616184809549883,-1.2414334788654071,0.38085588518610664,-0.1303034614920907,-0.0037737085590547085,-0.005635822469553302,-0.33208635319681434,34,54
1500,0.02,0.15,0.015,0.6,6,114,0.37719298245614036,0.6304347317023016,-1.2498740601098952,0.4791670056933602,-0.1509646195655775,-0.0034425546433401767,-0.0047288202430408426,-0.39245122934078014,43,71
1500,0.025,0.15,0.005,0.7,4,88,0.32954545454545453,0.5849483620653975,-1.264590795699692,0.39766235797003247,-0.13022743448051444,-0.0037788405531455943,-0.011994178375774074,-0.3325379686768123,29,59
1500,0.02,0.15,0.0075,0.7,8,114,0.3157894736842105,0.6232120799827866,-1.2780738412470758,0.46682640724849206,-0.15614422314447174,-0.003573964966145347,-0.008730303165149203,-0.40743200614056957,36,78
