month_start,n_trades,pf,sharpe
2022-02,5,0.0,-10.171986392611519
2022-03,8,0.8734488746372371,-0.49100157313759335
2022-04,3,inf,0.0
2022-07,7,13.69874479199429,6.299664883791893
2022-08,5,1.4991587071924581,1.1042251492916315
2022-09,1,inf,0.0
2022-10,6,9.498744537224734,3.7997638577266266
2022-11,6,8.511928825494792,4.375010718657258
2022-12,8,0.10660055089633774,-4.359268004638091
2023-01,8,11.322560429883348,5.890201105227596
2023-02,4,0.0,-7.451903293237781
2023-03,5,8.166031762308151,4.452221552645293
2023-04,2,0.0,-6.071033179145501
2023-05,8,0.2899140755893266,-4.556897303854069
2023-06,2,0.0,0.0
2023-07,6,0.21687789647713324,-3.376366227344465
2023-08,6,20.407643111373023,6.1140459762526245
2023-10,10,3.223089310035894,4.801236972045617
2023-12,3,1.0045406410298572,0.012748224035790205
2024-01,7,0.1308517795632866,-9.03453097972605
2024-02,8,4.009236031181713,6.441888432759051
2024-04,6,13.800516597273043,7.157680143388159
2024-05,4,0.2085654106743135,-6.472146607626209
2024-06,9,0.7876521685293567,-0.8268172947756903
2024-07,6,0.3813431302867762,-3.731101857773397
2024-08,4,0.0,-8.158348708392285
2024-09,8,0.5463483762570533,-2.4868177097878488
2024-10,1,inf,0.0
2024-11,5,14.11671227666857,6.198354321438432
2024-12,5,1.8809527524247682,3.0848917716105952
2025-01,6,1.6517304998522884,2.946344647492315
2025-02,5,0.7738635046115875,-0.9339758006941
2025-03,4,0.0,-8.6411452380412
2025-04,3,2.8452219619470376,0.0
2025-05,2,inf,0.0
2025-06,7,0.259118143241319,-4.731724274326057
2025-07,5,inf,9.973934504371321
2025-08,3,inf,10.186187907115938
2025-09,4,9.858681150831805,4.79863573597206
2025-10,6,0.21209383265206644,-7.688382906869942
2025-11,3,inf,0.0
2025-12,3,0.0,0.0
2026-01,6,0.0,-7.307820996081994
2026-02,3,inf,0.0
2026-03,5,0.0,0.0
