lookback_days,breakout_proximity_pct,entry_hour_utc,exit_hour_utc,n_trades,win_rate,pf,sharpe,max_dd,cagr,avg_trade_pct,median_trade_pct,gross_return,n_wins,n_losses
15,0.0,22,14,13,0.6923076923076923,4.431653095293636,1.5170093962941826,0.014479098473103361,0.10346019187202371,0.011789030660893596,0.011627745915267728,0.15325739859161674,9,4
10,0.0,22,14,15,0.7333333333333333,5.561109445257141,1.4472391909910727,0.014479098473103377,0.08756056181468197,0.013579922928504292,0.01164484363305028,0.20369884392756438,11,4
20,0.0,22,14,12,0.6666666666666666,4.171291177186544,1.4156618937543046,0.014479098473103361,0.09511741666411311,0.011802471056362418,0.010544640797790484,0.14162965267634903,8,4
5,0.0,22,14,17,0.7058823529411765,4.767728288525722,1.4052085944707322,0.022284182848509214,0.08513465816562049,0.011711765180565926,0.011627745915267728,0.19910000806962075,12,5
10,0.0,22,13,15,0.7333333333333333,4.733377329546372,1.372501573358362,0.029039390981896212,0.08522914185731989,0.013256109378377933,0.011384885089466192,0.198841640675669,11,4
15,0.0,22,13,13,0.6923076923076923,3.4581703917644457,1.3269088160228062,0.02903939098189618,0.08750588255118874,0.010071034483987742,0.00951853110544695,0.13092344829184063,9,4
20,0.0,22,13,12,0.6666666666666666,3.2444119870959183,1.2235421801600872,0.02903939098189614,0.079453859223926,0.009961546933531202,0.0069424493733664175,0.11953856320237442,8,4
5,0.0,22,15,17,0.7058823529411765,3.3951584785250795,1.1372440958330725,0.038499963727169385,0.07419596668498785,0.010334801262660065,0.007670003672659213,0.1756916214652211,12,5
15,0.0,22,15,13,0.6923076923076923,3.1597400936274633,1.1320378696513675,0.02340501194159785,0.08276579162190512,0.009618502277326009,0.005171184474958677,0.12504052960523812,9,4
10,0.0,22,15,15,0.7333333333333333,3.8015826686672813,1.1132058455979261,0.023405011941598032,0.0686224677027325,0.010813380790791853,0.007670003672659213,0.1622007118618778,11,4
10,0.01,20,15,66,0.45454545454545453,1.6996272055337185,1.0373098151514766,0.09866878055795417,0.17289295190485565,0.0064494830453252355,-0.0015140150375036318,0.4256658809914655,30,36
20,0.0,22,15,12,0.6666666666666666,2.9511577495688783,1.0318428890710034,0.023405011941597848,0.07426694033783199,0.009413702103528064,0.00410998280308717,0.11296442524233677,8,4
10,0.01,20,14,66,0.4696969696969697,1.655941143838735,0.9665543407988576,0.13293208853304064,0.16027408802463983,0.006052806991542516,-0.001599508141375858,0.399485261441806,31,35
10,0.01,20,13,66,0.4393939393939394,1.686037783701067,0.9552855131675859,0.11075489903742324,0.1467755005811351,0.005542237525967512,-0.003160058553599036,0.3657876767138558,29,37
5,0.0,22,13,17,0.6470588235294118,2.28866979722393,0.8814270910211145,0.04297484951371429,0.058904219218103515,0.008349994099158481,0.00951853110544695,0.1419498996856942,11,6
15,0.01,20,15,58,0.43103448275862066,1.5059985682515917,0.7669574594258366,0.09866878055795435,0.11466140933776248,0.005078001967163504,-0.0038656174236049814,0.29452411409548324,25,33
10,0.01,21,15,61,0.4262295081967213,1.5173847565822145,0.7629917980139002,0.10625272553108588,0.10826632451317741,0.004578640260912729,-0.0022360289360701478,0.2792970559156765,26,35
10,0.01,21,14,61,0.4262295081967213,1.51744491877264,0.7508733236709826,0.10490770840435126,0.10532957537168963,0.004461768777893057,-0.002756687898089254,0.27216789545147646,26,35
10,0.01,21,13,61,0.3770491803278688,1.5445508153238292,0.7490056488061836,0.10890144319917444,0.09914093543348845,0.004184389809641603,-0.002958821824085432,0.2552477783881378,23,38
15,0.01,20,14,58,0.46551724137931033,1.5047036994015062,0.7459825128829827,0.13293208853304087,0.11232630732672111,0.0050010879154732835,-0.001599508141375858,0.2900630990974504,27,31
20,0.01,20,14,52,0.46153846153846156,1.5039008396581848,0.7123771536409562,0.11452086593450662,0.10244494402462556,0.005114558726704626,-0.001599508141375858,0.26595705378864054,24,28
20,0.01,20,13,52,0.46153846153846156,1.5315532743155118,0.7008798073301716,0.09831491546596723,0.09224239770566389,0.004584735761454762,-0.003519653771601043,0.23840625959564762,24,28
15,0.01,20,13,58,0.43103448275862066,1.475312643606218,0.6752198307486973,0.11075489903742379,0.0923743573646385,0.004155769236626692,-0.003519653771601043,0.24103461572434817,25,33
20,0.0,21,14,11,0.5454545454545454,2.010799798943812,0.6640525514087634,0.08872676569092064,0.06371818090225334,0.00998945509161207,0.008203382354918635,0.10988400600773277,6,5
20,0.01,20,15,52,0.4423076923076923,1.4390272888354447,0.6571807199728352,0.0986687805579542,0.09183923337325606,0.004647109891525585,-0.0038656174236049814,0.24164971435933044,23,29
