n_trials,lookback_weeks,signal_threshold,vol_target,n_trades,win_rate,pf,sharpe,max_dd,cagr,avg_trade_pct,median_trade_pct,gross_return,n_wins,n_losses,n_coins_traded
30,4,0.0,True,180,0.4,2.1477597694004515,1.1644797824546165,0.3909171852759814,0.880269237206387,0.011145810098324545,-0.004545708092433432,2.006245817698418,72,108,6
30,4,0.02,True,171,0.4152046783625731,2.2639866008346377,1.071700516902429,0.3277580241175236,0.8205759877678209,0.011482687463134892,-0.002812330209445655,1.9635395561960665,71,100,6
30,4,0.0,False,180,0.4,1.8235734061383397,1.024963305493468,0.36580559024267506,0.5507848571174492,0.007618570776997332,-0.004919593602990864,1.3713427398595197,72,108,6
30,4,0.05,True,151,0.423841059602649,2.2936044287219333,1.012893801778266,0.36706809947917074,0.7127862035479335,0.011917865714174424,-0.0032971765917558936,1.7995977228403381,64,87,6
30,4,0.02,False,171,0.42105263157894735,1.8548150155529228,0.9457587467548912,0.29470016998197623,0.5014564949101332,0.007618949804284442,-0.002835550189715045,1.3028404165326395,72,99,6
30,4,0.05,False,151,0.4304635761589404,1.9098304481309907,0.9276513923944356,0.3038596409577604,0.47251838398594326,0.008303422588804685,-0.003331551472920335,1.2538168109095074,65,86,6
30,2,0.05,False,220,0.45,1.5220375589770954,0.7728907414267648,0.4925146026850446,0.2906543092097864,0.003981341829023969,-0.0018699616547456796,0.8758952023852731,99,121,6
30,8,0.0,True,126,0.30952380952380953,2.0885080198973096,0.7206607497977144,0.5521735757174026,0.5505798031315645,0.01640549305631731,-0.011710929704386542,2.067092125095981,39,87,6
30,2,0.05,True,220,0.45,1.499354745698967,0.6804766119944232,0.5906998760367038,0.25807211201892133,0.0042219689916586185,-0.0017773508509444215,0.9288331781648961,99,121,6
30,8,0.02,True,124,0.28225806451612906,1.823706568596315,0.6720302079998691,0.5101816294243926,0.3814682220239871,0.011277293601509782,-0.00941788207949296,1.3983844065872129,35,89,6
30,1,0.05,True,281,0.4199288256227758,1.4668931345027554,0.625818925189572,0.3117837799086655,0.25014365268004046,0.0030991043792419045,-0.0019838995945190238,0.8708483305669752,118,163,6
30,8,0.05,True,115,0.3217391304347826,1.7961537964620722,0.6217094356168701,0.47218542796328183,0.3122756251868819,0.01028122274318477,-0.006904166146396248,1.1823406154662486,37,78,6
30,1,0.05,False,281,0.4234875444839858,1.350173521276972,0.5776222680810881,0.25743637971429323,0.18843213789785285,0.0023496894592327064,-0.002230632232685352,0.6602627380443905,119,162,6
30,12,0.05,True,107,0.3364485981308411,1.7178260132036551,0.5586843071511579,0.5490913017538406,0.25106796367224504,0.010312131292310116,-0.007745562667668421,1.1033980482771824,36,71,6
30,2,0.0,True,251,0.3705179282868526,1.4500093009594341,0.5571879797071281,0.6613566521256397,0.2266172649428233,0.004619236829295989,-0.00512331431765116,1.1594284441532934,93,158,6
30,2,0.0,False,251,0.3705179282868526,1.3468552700992042,0.5187747839725295,0.596198326875408,0.18206823658780502,0.0033321091643501114,-0.00499364988284796,0.8363594002518779,93,158,6
30,8,0.0,False,126,0.30158730158730157,1.5359225822973803,0.5068230215747846,0.48305574347273605,0.1963461565560718,0.007705139958316443,-0.011912620133919714,0.9708476347478718,38,88,6
30,1,0.0,True,382,0.3586387434554974,1.2807014511489772,0.49713051745493436,0.3401734709325427,0.15692120578650082,0.002327856485325031,-0.004451493748786015,0.8892411773941619,137,245,6
30,12,0.0,True,115,0.30434782608695654,1.6481348714261301,0.48470537748679726,0.6549592997700671,0.16644997536930406,0.010561768355050839,-0.008559734601335323,1.2146033608308464,35,80,6
30,8,0.05,False,115,0.3130434782608696,1.497534198457659,0.4832413435473079,0.3880238907420192,0.1640859223385973,0.006130554612828726,-0.007429275931101459,0.7050137804753035,36,79,6
30,8,0.02,False,124,0.28225806451612906,1.47629466347262,0.48223157642737235,0.438659723503011,0.1648014852075288,0.0062340761426199235,-0.00864094838421205,0.7730254416848705,35,89,6
30,12,0.05,False,107,0.32710280373831774,1.5354191605177412,0.4776477490856763,0.5155233372397334,0.16200943931005307,0.007255799401324661,-0.007309845940161856,0.7763705359417388,35,72,6
30,12,0.02,True,114,0.30701754385964913,1.614242344993938,0.4703407309398546,0.6639747842556811,0.16678949182371583,0.009574341847213811,-0.007634076065338417,1.0914749705823745,35,79,6
30,1,0.02,True,359,0.3816155988857939,1.2699718220792506,0.44622182697010193,0.32806161188888616,0.12024692344131838,0.002105418828553839,-0.003466247184886561,0.7558453594508282,137,222,6
30,1,0.0,False,382,0.36910994764397903,1.206193329432567,0.4330893633481181,0.3352572674488943,0.10548836557623043,0.0016890982353061266,-0.004298775435503917,0.6452355258869403,141,241,6
30,12,0.0,False,115,0.30434782608695654,1.433743213140848,0.3835495743845897,0.6126699141503665,0.077817931919967,0.006445388106970419,-0.008215727934789863,0.7412196323015983,35,80,6
30,2,0.02,True,252,0.39285714285714285,1.2286224881952166,0.37488068281494324,0.7038691939044186,0.05767556990126921,0.0022876074807075164,-0.0033209021166056897,0.5764770851382941,99,153,6
30,12,0.02,False,114,0.2982456140350877,1.4033940954359294,0.37136553544344675,0.6278309715592674,0.07762116162056998,0.005851281320692455,-0.00728392237091974,0.6670460705589398,34,80,6
30,2,0.02,False,252,0.3968253968253968,1.1989829648316725,0.3699885901508204,0.6151242267674238,0.0736606935077071,0.0018436857638940108,-0.003265707013668808,0.4646088125012907,100,152,6
30,1,0.02,False,359,0.3871866295264624,1.1600957610280225,0.32519284096591783,0.3252515847934876,0.0431687674092589,0.0012555740177988008,-0.0034429619391203453,0.4507510723897695,139,220,6
